action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.79959869   59.67935944    3.10134315
   72.09472656]",0.0,0,0,0,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.79959869   59.67935944    3.10134315
   72.09472656]",0.03333333507180214,1,0,1,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.79959869   59.67935944    3.10134315
   72.04589844]",0.06666667014360428,2,0,2,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.10000000149011612,3,0,3,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.13333334028720856,4,0,4,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.1666666716337204,5,0,5,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.20000000298023224,6,0,6,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.23333333432674408,7,0,7,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.2666666805744171,8,0,8,0
"[  -2.1242485  -100.           80.20040131   59.91983795    2.95482302
   70.92285156]","[  -2.28456903 -100.           79.87976074   59.67935944    3.10134315
   71.92382812]",0.30000001192092896,9,0,9,0
